Plot#,8/9/2023
701,2.8
702,3
703,1
704,1.5
705,0.4
706,2.3
707,1.8
708,0.7
709,2
710,3
713,2.2
714,1.3
715,0.9
716,1.5
717,1.3
718,1.7
721,1.8
